client_id,client_type,loyalty_card,fuel_card,contract,fuel_type,tank_volume,avg_liters_per_visit,visits_per_month,avg_spend_per_visit,region,portrait_name,month,visits,liters,spend,increase_visits_on_bonus,responds_to_personal_recommendations,requires_fast_service,expects_vip_service,requires_reporting,prefers_eco_options,requires_education,prefers_regular_station,reaction_cluster,AB_group,spend_modified
6996e042-9ff4-47eb-931a-61250b0aba78,Юридическое лицо,Нет,Да,Да,Газ,139,102,9,6305,д. Тимашевск,Служебный транспорт,1,4,34.05965374541179,3674.3585386315362,0.0,0.0,0.0,0.0,0.9215433908618722,0.0,0.0,0.0,2,test,4025.6971922801235
6996e042-9ff4-47eb-931a-61250b0aba78,Юридическое лицо,Нет,Да,Да,Газ,139,102,9,6305,д. Тимашевск,Служебный транспорт,2,4,39.01532017699602,3242.1811391290144,0.0,0.0,0.0,0.0,1.06627917157,0.0,0.0,0.0,2,control,3242.1811391290144
6996e042-9ff4-47eb-931a-61250b0aba78,Юридическое лицо,Нет,Да,Да,Газ,139,102,9,6305,д. Тимашевск,Служебный транспорт,3,1,45.15631459778826,3241.4912333252705,0.0,0.0,0.0,0.0,0.9331473222063358,0.0,0.0,0.0,2,control,3241.4912333252705
6996e042-9ff4-47eb-931a-61250b0aba78,Юридическое лицо,Нет,Да,Да,Газ,139,102,9,6305,д. Тимашевск,Служебный транспорт,4,2,35.86188722551846,3229.5832110436477,0.0,0.0,0.0,0.0,1.0236845854177645,0.0,0.0,0.0,2,test,3538.3928727259154
6996e042-9ff4-47eb-931a-61250b0aba78,Юридическое лицо,Нет,Да,Да,Газ,139,102,9,6305,д. Тимашевск,Служебный транспорт,5,7,40.86104239869263,3394.7206340775087,0.0,0.0,0.0,0.0,0.9282981175585174,0.0,0.0,0.0,2,control,3394.7206340775087
6996e042-9ff4-47eb-931a-61250b0aba78,Юридическое лицо,Нет,Да,Да,Газ,139,102,9,6305,д. Тимашевск,Служебный транспорт,6,4,41.47702040113827,3758.2484077105464,0.0,0.0,0.0,0.0,0.9762619118291237,0.0,0.0,0.0,2,control,3758.2484077105464
17633a9d-ab17-4f90-a4bf-0fdf53f133fd,Юридическое лицо,Нет,Да,Да,Бензин,98,61,15,14250,клх Видное,Постоянный корпоративный клиент,1,3,34.96626671685452,3361.0342173084873,0.0,0.0,0.0,0.0,0.9552299603418004,0.0,0.0,1.0144260283051656,0,test,3682.413098645362
17633a9d-ab17-4f90-a4bf-0fdf53f133fd,Юридическое лицо,Нет,Да,Да,Бензин,98,61,15,14250,клх Видное,Постоянный корпоративный клиент,2,2,37.56069764402925,3951.3274083052825,0.0,0.0,0.0,0.0,1.0646227190416084,0.0,0.0,0.9576644497056024,0,test,4329.149560706277
17633a9d-ab17-4f90-a4bf-0fdf53f133fd,Юридическое лицо,Нет,Да,Да,Бензин,98,61,15,14250,клх Видное,Постоянный корпоративный клиент,3,4,38.681175856265284,3579.0979375451775,0.0,0.0,0.0,0.0,1.0592865200212267,0.0,0.0,1.0213732078043471,0,control,3579.0979375451775
17633a9d-ab17-4f90-a4bf-0fdf53f133fd,Юридическое лицо,Нет,Да,Да,Бензин,98,61,15,14250,клх Видное,Постоянный корпоративный клиент,4,1,36.01252928060021,3295.593319850427,0.0,0.0,0.0,0.0,1.0097374781757205,0.0,0.0,1.0040196383687914,0,test,3610.71480508272
